Year,Month,Harbor name,Ship count,Weight
2011,6,진해,15,"172,322"
2011,6,통영,20,"13,982"
2011,6,고현,7,"20,701"
2011,6,하동,9,"514,621"
2011,6,울산,699,"12,862,114"
2011,6,제주,23,"452,407"
2011,6,서귀포,0,0
2011,6,기타,0,0
2011,7,부산,"1,659","39,225,003"
2011,7,인천,572,"10,183,249"
2011,7,평택.당진,364,"9,157,849"
2011,7,경인항,0,0
2011,7,동해.묵호,84,"1,087,376"
2011,7,삼척,10,"17,189"
2011,7,속초,3,776
2011,7,옥계,5,"98,749"
2011,7,호산,0,0
2011,7,대산,172,"3,423,414"
2011,7,보령,8,"408,532"
2011,7,태안,11,"535,051"
2011,7,군산,107,"2,574,936"
2011,7,장항,4,"7,648"
2011,7,목포,67,"1,495,507"
2011,7,완도,1,991
2011,7,여수,96,"3,283,086"
2011,7,광양,695,"19,778,974"
2011,7,포항,241,"3,448,070"
2011,7,마산,152,"2,542,540"
2011,7,삼천포,12,"556,783"
2011,7,옥포,9,"34,456"
2011,7,장승포,0,0
2011,7,진해,12,"86,828"
2011,7,통영,25,"16,907"
2011,7,고현,7,"39,546"
2011,7,하동,12,"717,033"
2011,7,울산,710,"14,187,006"
2011,7,제주,30,"659,275"
2011,7,서귀포,0,0
2011,7,기타,0,0
2011,8,부산,"1,686","38,355,237"
2011,8,인천,570,"9,591,085"
2011,8,평택.당진,373,"8,734,079"
2011,8,경인항,0,0
2011,8,동해.묵호,94,"1,260,851"
2011,8,삼척,11,"18,772"
2011,8,속초,2,833
2011,8,옥계,8,"227,771"
2011,8,호산,0,0
2011,8,대산,161,"3,463,020"
2011,8,보령,10,"532,994"
2011,8,태안,14,"702,020"
2011,8,군산,102,"2,447,363"
2011,8,장항,6,"15,767"
2011,8,목포,72,"1,460,919"
2011,8,완도,1,"1,238"
2011,8,여수,104,"2,754,511"
2011,8,광양,648,"19,239,373"
2011,8,포항,214,"3,321,363"
2011,8,마산,132,"1,999,454"
2011,8,삼천포,10,"586,314"
2011,8,옥포,5,"21,054"
2011,8,장승포,0,0
