,Year,Month,Harbor name,Ship count,Weight
365,2010,12,군산,98,"2,593,669"
366,2010,12,장항,10,"26,564"
367,2010,12,목포,73,"1,527,037"
368,2010,12,완도,0,0
369,2010,12,여수,117,"3,699,222"
370,2010,12,광양,614,"17,186,497"
371,2010,12,포항,245,"2,962,170"
372,2010,12,마산,139,"2,353,715"
373,2010,12,삼천포,11,"405,329"
374,2010,12,옥포,8,"40,228"
375,2010,12,장승포,0,0
376,2010,12,진해,15,"149,334"
377,2010,12,통영,27,"24,279"
378,2010,12,고현,7,"49,284"
379,2010,12,하동,11,"591,414"
380,2010,12,울산,689,"11,982,906"
381,2010,12,제주,10,"116,703"
382,2010,12,서귀포,0,0
383,2010,12,기타,0,0
384,2011,01,항만명,"5,284","109,211,672"
385,2011,01,부산,"1,721","35,046,137"
386,2011,01,인천,722,"12,026,449"
387,2011,01,평택.당진,338,"8,936,981"
388,2011,01,경인항,0,0
389,2011,01,동해.묵호,90,"990,986"
390,2011,01,삼척,10,"17,387"
391,2011,01,속초,4,"1,830"
392,2011,01,옥계,8,"195,543"
393,2011,01,호산,0,0
394,2011,01,대산,148,"3,933,336"
395,2011,01,보령,12,"609,495"
396,2011,01,태안,17,"804,405"
397,2011,01,군산,134,"3,164,202"
398,2011,01,장항,5,"9,411"
399,2011,01,목포,82,"1,756,526"
400,2011,01,완도,1,498
401,2011,01,여수,146,"3,587,790"
402,2011,01,광양,600,"17,319,343"
403,2011,01,포항,268,"3,354,194"
404,2011,01,마산,148,"2,455,379"
405,2011,01,삼천포,12,"537,682"
406,2011,01,옥포,12,"62,192"
407,2011,01,장승포,0,0
408,2011,01,진해,17,"122,474"
409,2011,01,통영,19,"15,881"
410,2011,01,고현,8,"37,744"
411,2011,01,하동,15,"693,675"
412,2011,01,울산,730,"13,325,477"
413,2011,01,제주,17,"206,655"
414,2011,01,서귀포,0,0
415,2011,01,기타,0,0
416,2011,02,항만명,"4,613","94,867,489"
417,2011,02,부산,"1,485","30,661,160"
418,2011,02,인천,576,"10,143,908"
419,2011,02,평택.당진,310,"7,197,697"
420,2011,02,경인항,0,0
421,2011,02,동해.묵호,83,"1,108,327"
422,2011,02,삼척,6,"10,227"
423,2011,02,속초,0,0
424,2011,02,옥계,6,"168,759"
425,2011,02,호산,0,0
426,2011,02,대산,121,"3,116,931"
427,2011,02,보령,9,"440,839"
428,2011,02,태안,12,"574,047"
429,2011,02,군산,119,"2,434,888"
430,2011,02,장항,0,0
431,2011,02,목포,50,"1,088,975"
432,2011,02,완도,1,396
433,2011,02,여수,114,"3,698,740"
434,2011,02,광양,591,"16,236,896"
435,2011,02,포항,220,"2,582,342"
436,2011,02,마산,134,"2,202,994"
437,2011,02,삼천포,13,"517,271"
438,2011,02,옥포,7,"26,014"
439,2011,02,장승포,0,0
440,2011,02,진해,10,"106,135"
441,2011,02,통영,15,"9,313"
442,2011,02,고현,9,"32,605"
443,2011,02,하동,13,"682,590"
444,2011,02,울산,700,"11,716,683"
445,2011,02,제주,9,"109,752"
446,2011,02,서귀포,0,0
447,2011,02,기타,0,0
448,2011,03,항만명,"5,302","110,920,966"
449,2011,03,부산,"1,768","37,019,087"
450,2011,03,인천,631,"10,796,436"
451,2011,03,평택.당진,375,"9,929,576"
452,2011,03,경인항,0,0
453,2011,03,동해.묵호,84,"988,933"
454,2011,03,삼척,10,"16,814"
455,2011,03,속초,1,286
456,2011,03,옥계,7,"182,890"
457,2011,03,호산,0,0
458,2011,03,대산,113,"3,407,027"
459,2011,03,보령,12,"560,717"
460,2011,03,태안,12,"597,464"
461,2011,03,군산,122,"2,695,503"
462,2011,03,장항,6,"13,327"
463,2011,03,목포,84,"1,618,446"
464,2011,03,완도,1,396
465,2011,03,여수,119,"3,739,398"
466,2011,03,광양,682,"18,342,503"
467,2011,03,포항,279,"3,677,209"
468,2011,03,마산,151,"2,209,465"
469,2011,03,삼천포,11,"440,311"
470,2011,03,옥포,8,"34,623"
471,2011,03,장승포,0,0
472,2011,03,진해,18,"181,218"
473,2011,03,통영,19,"23,885"
474,2011,03,고현,12,"18,101"
475,2011,03,하동,9,"479,336"
476,2011,03,울산,757,"13,782,372"
477,2011,03,제주,11,"165,643"
478,2011,03,서귀포,0,0
479,2011,03,기타,0,0
480,2011,04,항만명,"5,212","108,359,064"
481,2011,04,부산,"1,752","37,198,871"
482,2011,04,인천,594,"10,252,987"
483,2011,04,평택.당진,380,"7,921,102"
484,2011,04,경인항,0,0
485,2011,04,동해.묵호,94,"1,086,965"
486,2011,04,삼척,9,"14,665"
487,2011,04,속초,12,"25,607"
488,2011,04,옥계,8,"143,828"
489,2011,04,호산,0,0
490,2011,04,대산,101,"2,929,954"
491,2011,04,보령,9,"445,538"
492,2011,04,태안,10,"489,801"
493,2011,04,군산,121,"2,844,700"
494,2011,04,장항,4,"10,630"
495,2011,04,목포,66,"1,204,951"
496,2011,04,완도,0,0
497,2011,04,여수,105,"3,533,944"
498,2011,04,광양,647,"18,634,120"
499,2011,04,포항,262,"3,405,550"
500,2011,04,마산,139,"2,216,073"
501,2011,04,삼천포,9,"381,521"
502,2011,04,옥포,4,"32,893"
503,2011,04,장승포,0,0
504,2011,04,진해,18,"153,960"
