,Ship Company,Enter Time,Out Time,Duration days,Duration hours,Total duration(Hours),Day difference
231,SKR,2013-05-04 18:10:00,2013-05-04 22:00:00,1,20:10:00,44,-1 days +20:10:00
232,DJS,2013-05-06 08:30:00,2013-05-06 12:30:00,1,20:00:00,44,-1 days +20:00:00
233,SKR,2013-05-07 16:00:00,2013-05-07 20:00:00,1,20:00:00,44,-1 days +20:00:00
234,SKR,2013-05-10 08:00:00,2013-05-10 10:00:00,1,22:00:00,46,-1 days +22:00:00
235,DJS,2013-05-10 18:00:00,2013-05-10 23:00:00,1,19:00:00,43,-1 days +19:00:00
236,SKR,2013-05-11 14:50:00,2013-05-11 18:00:00,1,20:50:00,44,-1 days +20:50:00
237,DJS,2013-05-12 06:00:00,2013-05-12 16:00:00,1,14:00:00,38,-1 days +14:00:00
238,SKR,2013-05-14 16:00:00,2013-05-14 20:00:00,1,20:00:00,44,-1 days +20:00:00
239,DJS,2013-05-17 10:00:00,2013-05-17 20:00:00,1,14:00:00,38,-1 days +14:00:00
240,SKR,2013-05-18 12:00:00,2013-05-18 14:00:00,1,22:00:00,46,-1 days +22:00:00
241,DJS,2013-05-20 10:20:00,2013-05-20 16:00:00,1,18:20:00,42,-1 days +18:20:00
242,SKR,2013-05-21 06:00:00,2013-05-21 09:00:00,1,21:00:00,45,-1 days +21:00:00
243,SKR,2013-05-23 06:00:00,2013-05-23 08:00:00,1,22:00:00,46,-1 days +22:00:00
244,SKR,2013-05-23 18:10:00,2013-05-23 20:00:00,1,22:10:00,46,-1 days +22:10:00
245,DJS,2013-05-24 06:00:00,2013-05-24 11:00:00,1,19:00:00,43,-1 days +19:00:00
246,SKR,2013-05-25 12:15:00,2013-05-25 15:00:00,1,21:15:00,45,-1 days +21:15:00
247,DJS,2013-05-27 21:30:00,2013-05-28 06:00:00,1,15:30:00,39,-1 days +15:30:00
248,SKR,2013-05-28 07:20:00,2013-05-28 10:00:00,1,21:20:00,45,-1 days +21:20:00
249,SKR,2013-05-30 08:00:00,2013-05-30 12:00:00,1,20:00:00,44,-1 days +20:00:00
250,SKR,2013-05-30 12:00:00,2013-05-31 01:00:00,1,11:00:00,35,-1 days +11:00:00
251,SKR,2013-05-30 18:00:00,2013-05-30 21:00:00,1,21:00:00,45,-1 days +21:00:00
252,DJS,2013-05-31 04:00:00,2013-05-31 10:00:00,1,18:00:00,42,-1 days +18:00:00
253,SKR,2013-06-01 12:00:00,2013-06-01 16:00:00,1,20:00:00,44,-1 days +20:00:00
254,DJS,2013-06-02 05:00:00,2013-06-02 11:00:00,1,18:00:00,42,-1 days +18:00:00
255,SKR,2013-06-04 07:40:00,2013-06-04 10:00:00,1,21:40:00,45,-1 days +21:40:00
256,SKR,2013-06-06 17:00:00,2013-06-06 19:00:00,1,22:00:00,46,-1 days +22:00:00
257,SKR,2013-06-06 20:00:00,2013-06-07 00:00:00,1,20:00:00,44,-1 days +20:00:00
258,DJS,2013-06-07 03:00:00,2013-06-07 08:00:00,1,19:00:00,43,-1 days +19:00:00
259,SKR,2013-06-07 05:30:00,2013-06-07 08:00:00,1,21:30:00,45,-1 days +21:30:00
